month,load_count,prev_month_count,pct_change
2021-12-31 23:00:00+00:00,2466,,
2022-01-31 23:00:00+00:00,2179,2466.0,-11.64
2022-02-28 23:00:00+00:00,2370,2179.0,8.77
2022-03-31 23:00:00+00:00,2346,2370.0,-1.01
2022-04-30 23:00:00+00:00,2428,2346.0,3.5
2022-05-31 23:00:00+00:00,2376,2428.0,-2.14
2022-06-30 23:00:00+00:00,2421,2376.0,1.89
2022-07-31 23:00:00+00:00,2496,2421.0,3.1
2022-08-31 23:00:00+00:00,2304,2496.0,-7.69
2022-09-30 23:00:00+00:00,2468,2304.0,7.12
2022-10-31 23:00:00+00:00,2360,2468.0,-4.38
2022-11-30 23:00:00+00:00,2375,2360.0,0.64
2022-12-31 23:00:00+00:00,2437,2375.0,2.61
2023-01-31 23:00:00+00:00,2136,2437.0,-12.35
2023-02-28 23:00:00+00:00,2412,2136.0,12.92
2023-03-31 23:00:00+00:00,2336,2412.0,-3.15
2023-04-30 23:00:00+00:00,2348,2336.0,0.51
2023-05-31 23:00:00+00:00,2312,2348.0,-1.53
2023-06-30 23:00:00+00:00,2433,2312.0,5.23
2023-07-31 23:00:00+00:00,2344,2433.0,-3.66
2023-08-31 23:00:00+00:00,2327,2344.0,-0.73
2023-09-30 23:00:00+00:00,2397,2327.0,3.01
2023-10-31 23:00:00+00:00,2364,2397.0,-1.38
2023-11-30 23:00:00+00:00,2319,2364.0,-1.9
2023-12-31 23:00:00+00:00,2401,2319.0,3.54
2024-01-31 23:00:00+00:00,2267,2401.0,-5.58
2024-02-29 23:00:00+00:00,2431,2267.0,7.23
2024-03-31 23:00:00+00:00,2354,2431.0,-3.17
2024-04-30 23:00:00+00:00,2442,2354.0,3.74
2024-05-31 23:00:00+00:00,2418,2442.0,-0.98
2024-06-30 23:00:00+00:00,2394,2418.0,-0.99
2024-07-31 23:00:00+00:00,2426,2394.0,1.34
2024-08-31 23:00:00+00:00,2339,2426.0,-3.59
2024-09-30 23:00:00+00:00,2474,2339.0,5.77
2024-10-31 23:00:00+00:00,2357,2474.0,-4.73
2024-11-30 23:00:00+00:00,2353,2357.0,-0.17
