driver_id,revenue_per_mile
DRV00101,2.2057985090369825
DRV00002,2.198388861442296
DRV00005,2.1907660259465644
DRV00016,2.185408720822611
DRV00033,2.1852358174067756
DRV00056,2.182143399155394
DRV00091,2.1815859190900286
DRV00144,2.1793294673626087
DRV00057,2.1771435327318973
DRV00099,2.175900392759356
DRV00130,2.1750470047559203
DRV00129,2.1732285680755377
DRV00147,2.171054922403448
DRV00032,2.1710337588010344
DRV00127,2.1700890643563033
DRV00029,2.1692703764619883
DRV00084,2.168678575384956
DRV00146,2.1674903464905557
DRV00015,2.1672149135462457
DRV00018,2.1666462850964736
DRV00028,2.16585569553051
DRV00088,2.165679949584819
DRV00066,2.1648436654604657
DRV00059,2.1646894756415023
DRV00109,2.1637510832184543
DRV00105,2.1635876196764947
DRV00077,2.163370634553445
DRV00079,2.162187230402136
DRV00026,2.1618918605378425
DRV00065,2.1618426940679125
DRV00119,2.1607180585311907
DRV00123,2.160655206878828
DRV00030,2.1602116509665317
DRV00141,2.1600424997037897
DRV00058,2.15935997689655
DRV00148,2.1584956876081276
DRV00022,2.1577912306857803
DRV00121,2.1575813419537253
DRV00011,2.157484984044765
DRV00060,2.1570461242304484
DRV00004,2.1568364839078997
DRV00112,2.156153415472299
DRV00085,2.155724319374841
DRV00062,2.155712440067173
DRV00134,2.155520006233841
DRV00055,2.155131925353739
DRV00104,2.1548046634690996
DRV00074,2.1546116707004757
DRV00050,2.1545491048127956
DRV00145,2.153641889903777
DRV00039,2.153497842921614
DRV00108,2.1531870752576983
DRV00107,2.1530809419255803
DRV00095,2.152337745948424
DRV00094,2.151354151084132
DRV00051,2.1511991975263265
DRV00078,2.1507647841632735
DRV00049,2.150413178139337
DRV00143,2.150338591336235
DRV00087,2.1503257340379345
DRV00013,2.1498405215901197
DRV00120,2.1492465403427956
